#GameID,Team,Player
1,1,360749796698619914
1,1,316713277927194625
1,1,627484657847631902
1,1,220978365534830602
1,2,374958703214067725
1,2,470881834721476668
1,2,111847430491738112
1,2,719731481013911565
2,1,220978365534830602
2,1,383780535933206538
2,1,707747842428764160
2,2,316713277927194625
2,2,374958703214067725
2,2,558426242961899520
3,1,383780535933206538
3,1,627484657847631902
3,1,644617140330168356
3,2,220978365534830602
3,2,316713277927194625
3,2,168282906496729088
4,1,374958703214067725
4,1,383780535933206538
4,1,470881834721476668
4,2,316713277927194625
4,2,111847430491738112
4,2,194542420594130944
5,1,287646350504624168
5,1,383780535933206538
5,1,374958703214067725
5,1,644617140330168356
5,2,719731481013911565
5,2,316713277927194625
5,2,111847430491738112
5,2,168282906496729088
6,1,316713277927194625
6,1,470881834721476668
6,1,383780535933206538
6,1,719731481013911565
6,1,168282906496729088
6,2,374958703214067725
6,2,111847430491738112
6,2,220978365534830602
6,2,287646350504624168
6,2,707747842428764160
7,1,316713277927194625
7,1,464396870932758528
7,1,111847430491738112
7,2,168282906496729088
7,2,383780535933206538
7,2,719731481013911565
8,1,316713277927194625
8,1,383780535933206538
8,1,220978365534830602
8,1,627484657847631902
8,2,719731481013911565
8,2,111847430491738112
8,2,374958703214067725
8,2,426796674971729940
9,1,383780535933206538
9,1,316713277927194625
9,1,712968473705185323
9,1,464396870932758528
9,2,719731481013911565
9,2,305422077891051550
9,2,168282906496729088
9,2,426796674971729940
10,1,627484657847631902
10,1,383780535933206538
10,1,712968473705185323
10,2,168282906496729088
10,2,426796674971729940
10,2,719731481013911565
11,1,719731481013911565
11,1,305422077891051550
11,1,627484657847631902
11,1,707747842428764160
11,2,374958703214067725
11,2,340966904586043394
11,2,168282906496729088
11,2,644617140330168356
12,1,168282906496729088
12,1,383780535933206538
12,1,220978365534830602
12,2,627484657847631902
12,2,426796674971729940
12,2,654052019140821014
13,1,220978365534830602
13,1,383780535933206538
13,1,654052019140821014
13,1,464396870932758528
13,2,168282906496729088
13,2,426796674971729940
13,2,627484657847631902
13,2,547782898179244043
14,1,220978365534830602
14,1,316713277927194625
14,1,464396870932758528
14,2,168282906496729088
14,2,383780535933206538
14,2,644617140330168356
15,1,316713277927194625
15,1,383780535933206538
15,1,426796674971729940
15,1,464396870932758528
15,2,470881834721476668
15,2,340966904586043394
15,2,374958703214067725
15,2,547782898179244043
16,1,168282906496729088
16,1,316713277927194625
16,1,464396870932758528
16,2,627484657847631902
16,2,374958703214067725
16,2,644617140330168356
17,1,470881834721476668
17,1,305422077891051550
17,1,287646350504624168
17,1,719731481013911565
17,2,168282906496729088
17,2,340966904586043394
17,2,464396870932758528
17,2,547782898179244043
18,1,168282906496729088
18,1,340966904586043394
18,1,470881834721476668
18,2,287646350504624168
18,2,277512731647803393
18,2,719731481013911565
19,1,220978365534830602
19,1,316713277927194625
19,1,383780535933206538
19,1,374958703214067725
19,1,707747842428764160
19,2,470881834721476668
19,2,340966904586043394
19,2,627484657847631902
19,2,464396870932758528
19,2,547782898179244043
20,1,168282906496729088
20,1,287646350504624168
20,1,704384966716555284
20,1,464396870932758528
20,2,374958703214067725
20,2,470881834721476668
20,2,111847430491738112
20,2,627484657847631902
21,1,383780535933206538
21,1,287646350504624168
21,1,654767153320427544
21,1,464396870932758528
21,1,644617140330168356
21,2,316713277927194625
21,2,704384966716555284
21,2,374958703214067725
21,2,168282906496729088
21,2,717720216859181057
22,1,316713277927194625
22,1,374958703214067725
22,1,464396870932758528
22,2,707747842428764160
22,2,470881834721476668
22,2,743053271148527706
23,1,374958703214067725
23,1,287646350504624168
23,1,470881834721476668
23,1,464396870932758528
23,1,743053271148527706
23,2,707747842428764160
23,2,282897052285796353
23,2,168282906496729088
23,2,717720216859181057
23,2,547782898179244043
24,1,168282906496729088
24,1,438443958658531348
24,1,426796674971729940
24,1,374958703214067725
24,1,464396870932758528
24,2,470881834721476668
24,2,383780535933206538
24,2,220978365534830602
24,2,712968473705185323
24,2,547782898179244043
25,1,426796674971729940
25,1,340966904586043394
25,1,470881834721476668
25,1,220978365534830602
25,2,707747842428764160
25,2,712968473705185323
25,2,383780535933206538
25,2,464396870932758528
26,1,627484657847631902
26,1,287646350504624168
26,1,654767153320427544
